0, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;
1, 4 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;
2, 4 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 4 5 1 1;
3, 4 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 5 6 1 1;
4, 4 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 6 7 1 1;
5, 5 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 6 7 1 1;
6, 5 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 5 8 1 1;
7, 5 2 1 1 5 8 1 1 0 0 0 0 0 0 0 0 0 0 0 0;
8, 4 1 3 2 4 8 3 2 0 0 0 0 0 0 0 0 0 0 0 0;
9, 4 1 3 2 4 8 3 2 5 5 1 1 0 0 0 0 0 0 0 0;
10, 4 1 3 2 4 8 3 2 4 4 3 3 0 0 0 0 0 0 0 0;
11, 5 1 3 2 3 8 3 2 3 3 3 3 0 0 0 0 0 0 0 0;
12, 5 1 3 3 3 7 3 3 2 2 3 3 0 0 0 0 0 0 0 0;
13, 5 1 4 3 2 7 4 3 1 2 3 3 8 8 1 1 0 0 0 0;
14, 5 1 4 4 1 6 4 4 1 1 3 3 7 7 3 3 0 0 0 0;
15, 5 1 5 5 1 6 5 5 1 1 4 4 6 6 4 4 0 0 0 0;
